"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"RHEX1",1.53955935992067e-48,1.46688418030581,0.437,0.078,3.47925019748471e-44,"7","RHEX",0.359
"HLA-DOB2",1.84063242080958e-47,0.553098523063049,0.546,0.112,4.15964520778756e-43,"7","HLA-DOB",0.434
"ERLEC1",2.47673667579465e-47,0.800068308882395,0.815,0.272,5.59717721362834e-43,"7","ERLEC1",0.543
"DNAJC3",2.50470558879013e-47,0.821365645767041,0.714,0.203,5.66038416010681e-43,"7","DNAJC3",0.511
"MCEE",1.39488126449648e-46,0.326263138303339,0.471,0.086,3.15229216963559e-42,"7","MCEE",0.385
"SPINK21",1.4761959927077e-46,0.640354408713267,0.286,0.036,3.33605532392012e-42,"7","SPINK2",0.25
"BIK1",4.86361370443555e-46,0.494377819343846,0.588,0.124,1.09912806106539e-41,"7","BIK",0.464
"PDIA61",5.23428099842968e-46,1.26805156499064,0.916,0.52,1.18289516283512e-41,"7","PDIA6",0.396
"MANF",2.62612228195235e-45,1.00056698892264,0.773,0.266,5.93477374498411e-41,"7","MANF",0.507
"SIL1",5.34852061292336e-45,0.38802210862824,0.496,0.1,1.20871217331455e-40,"7","SIL1",0.396
"BLNK2",7.58075802079868e-45,0.660057423403326,0.782,0.217,1.71317550512029e-40,"7","BLNK",0.565
"PLOD3",5.66950481275744e-44,0.365677501068809,0.42,0.074,1.28125139263505e-39,"7","PLOD3",0.346
"CLPTM1L",1.56209561645907e-43,0.343987443765796,0.412,0.074,3.53017988363584e-39,"7","CLPTM1L",0.338
"SPCS2",2.2150637551767e-43,0.995000372329565,0.924,0.543,5.00582258032383e-39,"7","SPCS2",0.381
"SEC61A1",2.78651297362068e-43,0.735683572227575,0.807,0.275,6.29724066908537e-39,"7","SEC61A1",0.532
"ARID3A",5.05862512101287e-43,0.267207981722544,0.311,0.045,1.1431986910977e-38,"7","ARID3A",0.266
"KDELR21",1.54730281280049e-42,1.02965748530292,0.866,0.373,3.49674962664783e-38,"7","KDELR2",0.493
"LMAN1",4.32895521960064e-42,0.954819708443328,0.857,0.354,9.7830059007755e-38,"7","LMAN1",0.503
"GMPPB",1.00872218948585e-41,0.408069656852701,0.479,0.1,2.27961127601908e-37,"7","GMPPB",0.379
"PPIB2",7.89520696289114e-41,1.0973589326564,0.941,0.818,1.78423782154377e-36,"7","PPIB",0.123
"ARSA",1.09526666967213e-40,0.592456790872492,0.655,0.18,2.47519314679205e-36,"7","ARSA",0.475
"DNAJB111",1.27242322568148e-40,0.699427181714525,0.739,0.238,2.87554924771758e-36,"7","DNAJB11",0.501
"EDEM1",1.59361533307298e-40,0.461937733999814,0.521,0.115,3.60141129121162e-36,"7","EDEM1",0.406
"SYVN12",3.20330454649174e-40,0.680376017325712,0.723,0.227,7.23914794461669e-36,"7","SYVN1",0.496
"CCDC88A2",3.96944736431382e-40,0.59369013092426,0.597,0.156,8.9705540986128e-36,"7","CCDC88A",0.441
"CCPG1",7.01785352711022e-40,0.37346138126723,0.622,0.152,1.58596471859164e-35,"7","CCPG1",0.47
